Timestamp,Event
2025-12-20 18:44:20.993532,APPLICATION STARTED
2025-12-20 18:44:22.488214,APPLICATION STARTED
2025-12-20 18:47:18.705897,APPLICATION STARTED
2025-12-20 18:47:19.084873,APPLICATION STARTED
2025-12-20 18:50:27.915827,APPLICATION STARTED
2025-12-20 18:50:29.406481,APPLICATION STARTED
2025-12-20 18:50:55.095598,APPLICATION STARTED
2025-12-20 18:51:20.072998,LOGIN SUCCESS - user=sahil
2025-12-20 18:51:21.320919,LOGIN SUCCESS - user=soham
2025-12-20 18:55:30.521226,LOGIN SUCCESS - user=sahil
2025-12-20 18:55:32.727457,LOGIN SUCCESS - user=soham
2025-12-20 18:57:59.859910,MESSAGE SENT - user=soham
2025-12-20 18:58:02.996098,MESSAGE SENT - user=sahil
2025-12-20 18:59:08.433843,LOGIN FAILED - user=sahil
2025-12-20 18:59:25.425743,LOGIN FAILED - user=soham
2025-12-20 19:00:18.024752,LOGIN SUCCESS - user=sahil
2025-12-20 19:27:49.520902,LOGIN SUCCESS - user=sahil
2025-12-20 19:28:00.790275,LOGIN FAILED - user=sahil
2025-12-20 19:28:05.179648,LOGIN SUCCESS - user=sahil
2025-12-21 12:21:31.754910,LOGIN SUCCESS - user=sahil
2025-12-21 12:21:48.983157,MESSAGE SENT - user=sahil
2025-12-21 12:22:11.783994,LOGIN SUCCESS - user=soham
2025-12-21 12:22:18.711341,MESSAGE SENT - user=soham
2025-12-21 12:22:23.431005,MESSAGE SENT - user=sahil
2025-12-21 12:22:44.726460,LOGIN FAILED - user=sahil
2025-12-21 12:22:53.393327,LOGIN FAILED - user=sahil
2025-12-21 12:23:01.555755,LOGIN FAILED - user=sahil
2025-12-21 12:23:10.342089,BRUTE FORCE BLOCKED - user=sahil
2025-12-21 12:23:26.487280,BRUTE FORCE BLOCKED - user=sahil
2025-12-21 12:26:41.550835,BRUTE FORCE BLOCKED - user=sahil
2025-12-21 12:27:19.852065,LOGIN SUCCESS - user=soham
2025-12-21 12:35:41.390527,MESSAGE SENT - user=soham
2025-12-21 12:36:33.758979,MESSAGE SENT - user=soham
2025-12-21 12:38:27.861979,MESSAGE SENT - user=soham
2025-12-21 12:57:53.204617,LOGIN SUCCESS - user=soham
2025-12-21 12:59:50.715378,LOGIN SUCCESS - user=soham
2025-12-21 13:04:16.666460,LOGIN SUCCESS - user=soham
2025-12-21 13:05:51.465547,LOGIN SUCCESS - user=soham
2025-12-21 13:05:51.554745,LOGIN SUCCESS - user=soham
2025-12-21 13:08:02.285442,MESSAGE SENT - user=soham
2025-12-21 13:10:57.734280,MESSAGE SENT - user=soham
2025-12-21 13:11:41.252439,MESSAGE SENT - user=soham
2025-12-21 13:13:06.389073,MESSAGE SENT - user=soham
2025-12-21 13:39:15.038193,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2025-12-21 13:41:29.723884,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2025-12-21 13:44:15.190691,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2025-12-21 13:45:44.644725,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2025-12-21 13:47:11.165313,LOGIN SUCCESS - user=soham - ip=127.0.0.1
2025-12-21 13:47:14.027320,LOGOUT - user=soham - ip=127.0.0.1
2025-12-21 13:47:40.859857,LOGIN SUCCESS - user=soham - ip=127.0.0.1
